Drugname,Absorption/administration,Adverse effects,Contraindications,Distribution,Dosing/administration,Excretion,Indications,Interactions,Metabolism,Pharmacodynamics,Pharmacokinetics,Special notes,Special precautions,Structure/class,Toxicology,Withdrawal syndrome
ACE INBIHITORS,PO. Captopril has 95% bioavailability that is reduced by food.,"Hypotension – especially first dose hypotension, and especially if there is concomitant salt restriction/patient in hypovolemic state.
AKI
Cough/angioedema
Hyperkalemia
Teratogenicity","Pregnancy – especially in 2nd and 3rd trimester. It causes hydronephrosis and renal failure in the fetus.
AKI",,,Renal – 50% unchanged.,"Management of HTN
Useful in treating HTN with IHD as a single agent, as there is no rebound tachycardia.
Useful in treating HTN with CKD – it reduces proteinuria and stabilizes GFR.
 ","K+ sparing drugs/K+ supplements (Anything that increased K+)
May cause hyperkalemia
NSAIDs
NSAIDs will reduce prostaglandin synthesis – this overall reduces the anti-hypertensive effect of ACE-I.","Metabolized by the liver. Note that all ACE-I are prodrugs, except captopril and Lisinopril.","Functions to inhibit ACE. Therefore,
Reduced conversion of AT-I to AT-II. This means less vasoconstriction and less aldosterone release.
Reduced breakdown of bradykinin, therefore leading to increased prostaglandin synthesis and vasodilation.
Overall effect is to reduce PVR and reduce BP.",,,Renal impairment,ACE-I,,
ACICLOVIR,PO or IV. Bioavailability is very low., ,,"Readily distributes into most tissues and body fluids, with CSF concentrations approximately 20-50%.", ,"T ½ of 2.5 hours, which is prolonged in renal failure.",,,"Not metabolized – it is excreted unchanged in the urine.
 ","It is a prodrug that requires activation by viral thymidine kinase before become active.
It then functions by inhibiting viral DNA polymerase, preventing replication of viral DNA.
Spectrum of activity as follows: HSV-1, HSV-2 and VZV. No in vivo activity against EBV/CMV and HHV-6.
Therefore, indications as follows:
Herpes simplex encephalitis
Neonatal HSV
Serious HSV/VZV infections, especially in the immunocompromised
Resistance is due to reduction in viral thymidine kinase or the alteration of DNA polymerase binding site. If there is a reduction in the viral thymidine kinase, then the virus will have cross resistance to valacyclovir, ganciclovir and famciclovir.",, ,,DNA polymerase inhibitor, , 
ADRENALINE,IV (bolus/infusion). Can also be given IM/SC/Neb/ETT.,"Increased cardiac irritability and arrhythmias
Cerebral haemorrhage
Increased BP
Local ischemia","IHD
Severe hypertension
Severe hyperthyroidism
Phaeochromocytoma
Glaucoma","Crosses the placenta, but does not cross BBB.","300microg IM for anaphylactic reaction
Bolus/infusion – start at 5mics/min and titrate as required.",Renal. T ½ of 1-3 minutes,"Anaphylaxis and severe allergic reactions
Cardiac arrest – facilitates increased blood flow secondary to vasoconstriction
Asthma (nebulized)
Croup
Adjunct for LA – prolongs LA action and reduces bleeding.",,Metabolised at the sympathetic nerve ending via COMT/MAO pathways. Metabolised to VMA and excreted in the urine.,"Binds to α and β receptors (α1 = α2; β1 = β2 activity). Acts through G proteins leading to increase in cAMP and downstream effects.
Organ system effects as follows:
Cardiovascular
Increased inotropy and chronotropy
Vasoconstriction in almost all vascular beds (vasodilation in hepatic and skeletal muscle)
Respiratory
Bronchodilation",,,Avoid using with LA in fingers/toes/ears,Endogenous catecholamine,If severe vasoconstriction (e.g. extravasation in digits) may be reversed with phentolamine (competitive antagonist at α1 and α2 receptors),
ALLOPURINOL,,,,,,,,,,"Purines (degradation products of amino acid and nucleic acid) are converted to xanthines and hypoxanthines, before being oxidized to uric acid.
Allopurinol inhibits the final step and increases the amount of xanthine and hypoxanthine, which are both more water soluble.
Indications as follows:
Used in between acute gout attacks. Should not be used in the acute phase because it may actually precipitate an acute gout attack.
Used to prevent increased in uric acid following therapy of blood dyscrasias (this reduces the chance of formation of uric acid stones)
May also be used as an anti-protozoal drug.
Adverse effects
Precipitate gout (use colchicine or NSAIDs as a bridge)
Nausea, vomiting and diarrhea
Bone marrow suppression.
Interactions
May increase the activity of oral anti-coagulants by inhibiting their metabolism.","Given PO
Well absorbed, good bioavailability.
It is metabolized by xanthine oxidase, but its metabolic byproduct retains the ability to further inhibit xanthine oxidase.",,,It functions as a xanthine oxidase inhibitor.,,
AMINOGLYCOSIDES – GENTAMICIN,"IM or IV. There are very poorly absorbed PO, everything just ends up in the poo.",,,They are very polar drugs and do not enter cells readily. Gentamicin is largely excluded from the CNS and eye.,,"Renal
Rate of excretion is directly related to creatinine clearance and therefore gentamicin levels should be measured/renal function should be monitored.",,, ,"Aminoglycosides are bactericidal drugs that function by binding irreversibly to the 30S subunit of the ribosome and inhibit protein synthesis.
Firstly, the drug enters the cell by diffusing across the membrane. Secondly, it is actively transported across the cell membrane into the cytoplasm by an oxygen dependent process. Transport is coupled to a proton pump. This means that low ECF pH (forces the bacterial proton pump to work against a concentration gradient) and anaerobic conditions (low oxygen levels) make aminoglycosides less effective.
Aminoglycosides are very effective against aerobic Gram-ve bacteria, e.g. E.coli, Proteus, Klebsiella, Enterobacter, Serratia and other Gram-ve rods.
Importantly, aminoglycosides demonstrate synergistic activity with other cell wall inhibiting drugs (penicillins, vancomycin). Using a β-lactam antibiotic together with gentamicin will extend its spectrum to include Gram +ve bacteria.
Therefore, clinical indications are as follows:
Gram-ve sepsis (may be helpful as a second agent due to synergism)
It is not helpful in the following situations:
Pneumonia/lung abscess (decreased oxygen tension in the infected lung, and the infected tissue has lower pH)
Staph/strep infections as a single agent (due to inability to penetrate the cell wall)
Resistance is usually plasmid mediated, and has the following mechanisms:
Production of transferase enzyme that inactivates aminoglycosides
Reduced entry of aminoglycoside into the cell
Alteration of ribosomal binding site
Aminoglycosides have interesting properties that may make single injection preferable to two or three divided doses. They are:
Concentration dependent killing – increased concentration will kill increased proportion of bacteria at an increased rate.
Significant post-antibiotic effect – antibacterial activity persists beyond the time by which measurable drug is present. This may last several hours.
Also note that toxicity is both time and concentration dependent. Toxicity is unlikely to occur unless a certain threshold concentration has been reached. Hence, at therapeutic concentrations, the time above the threshold is less with single doses than with multiple ones.
Other benefits include lower nursing cost and allowing outpatient treatment.",, ,, ,"All aminoglycosides are ototoxic and nephrotoxic.
The ototoxicity usually manifests as tinnitus and high frequency hearing loss initially, then vestibular damage (ataxia and vertigo)
Note that ototoxicity of gentamicin is irreversible and mainly manifests as vestibular dysfunction.
Nephrotoxicity is usually mild and reversible.
Toxicity is potentiated by high drug concentration, longer duration of use, elderly and renal insufficiency.
Avoid the use of gentamicin with loop diuretics (e.g. frusemide or ethacrynic acid, as they are ototoxic) and with other nephrotoxics (e.g. vancomycin and amphotericin)", 
AMIODARONE,"PO and IV
PO absorption can be erratic.
The oral bioavailability is 35-65%, due to first pass metabolism.","Acutely – causes bradycardia (especially those with pre-existing SA and AV node disease) and hypotension (due to vasodilation)
Chronic – pulmonary fibrosis (most significant adverse reaction), photodermatitis, thyroid dysfunction (both hypo and hyperthyroid), hepatitis/abnormal LFTs and optic neuritis.","Severe hypotension
Bradycardia
Thyroid dysfunction
Breast feeding","Strongly protein bound, T½ of 20-100 days. Very large Vd.",,"Rapid component is 3-10 days (50% of the drug is eliminated here)
Slower component over several weeks.
After discontinuation, drug effects may still be seen for 1 to 3 months.
Elimination is by hepatobiliary system.","Termination of both atrial and ventricular tachyarrhythmias.
Prevents recurrent VT/VF, may be used to revert VT/VF.
Used in the third cycle of shockable ACLS rhythm.","Amiodarone is a CYP450 enzyme inhibitor. Therefore
It increases the effect of digoxin, warfarin and statins.
Because it is cleared by hepatic CYP system, other inhibitors, e.g. cimetidine will increase its effect. Also, inducers, e.g. rifampicin, will reduce its effect.
Because it is an anti-arrhythmic, it potentiates other anti-arrhythmics, e.g. procainamide, phenytoin, quinidine and flecanide.",Amiodarone is hepatically metabolized to desethylamiodarone. This metabolite is bioactive.,"Prolongs the APD and therefore, the QT interval mainly by K+ channel blockade.
Importantly, it has class I, II and class IV activity as well. This broad spectrum of action accounts for its low risk of TdP despite QT prolongation.
Overall, amiodarone’s effects are prolonged AV conduction and decreased automaticity in the Purkinje fibers (β-blockade effect)
It also slows the sinus rate (CCB effect)
Amiodarone also has α-blockade effect, causing vasodilation and hypotension.",,,,Class III anti-arrhythmic,,
AMPHOTERICIN B,,,,,,,,,,"Anti-fungal drug
Interferes with cell membrane function by binding to ergosterol (The predominant sterol of fungi is ergosterol, which is a major component of the fungal lipid cell membrane)
Therefore, it is the antifungal with the broadest spectrum of activity, including candida, Cryptococcus, aspergillus and histoplasma.
It is useful for life-threatening mycotic infections, and is often used as an initiation agent.
Toxicity can be divided into immediate and long term.
Immediate
Infusion related toxicity, i.e. fevers, chills, vomiting, headache, hypotension and muscle spasms.
Treat by slowing down the infusion rate.
Long term
Renal failure (most significant reaction) which may be irreversible.
Anaemia (secondary to renal damage)
Abnormal LFTs.
Intrathecal amphotericin is very toxic.","Parenteral administration. Poorly absorbed PO (PO use only for fungi in the GIT lumen)
90% bound to serum proteins.
Does not penetrate CSF (use fluconazole for CSF fungal meningitis)
No need for dose adjustments in hepatic/renal failure.",,,Amphoteric polyene macrolide,,
ASPIRIN,"PO
Aspirin is a weak acid with a pKa of 3.5. It is well absorbed in the GIT due to acid pH.", , ,Aspirin is absorbed in the GIT as ASA. It has a T ½ of 15 minutes (rapidly broken down by red cell esterases). It is hydrolyzed to acetic acid and salicylate. Salicylate is bound to albumin and then undergoes glucuronidation in the liver., ,"It is renally excreted.
Note that alkalinizing the urine will increase its excretion.","With other drugs that are highly protein bound (e.g. phenytoin).
It is a weak acid and therefore reduces the clearance of penicillins (like probenacid).
Decreases the activity of spironolactone.", ,"At low doses, aspirin follows first order kinetics.
At higher doses, aspirin follows zero order kinetics. The T ½ is extended to 15 hours.","(Diagram retrieved from Katzung 12th edition pg. 639)
Aspirin is an irreversible inhibitor of platelet COX (this lasts 8-10 days, which is the lifespan of the platelet as the platelet cannot manufacture new COX).
In other tissues, synthesis of new COX replaces the enzyme so aspirin’s effects on other tissues last 6 to 12 hours.",, , ,Also known as acetylsalicylic acid.,"Acute ingestion of >200mg/kg or chronic over medication will cause toxicity.
The mechanism of toxicity is uncoupling of oxidative phosphorylation and disruption of normal cellular metabolism.
Signs and symptoms as follows:
CNS: vertigo, tinnitus and loss of hearing.
First sign is respiratory alkalosis and hyperventilation. Metabolic acidosis then occurs (usually HAGMA). ABG will show mixed respiratory alkalosis and metabolic acidosis.
Hyperthermia and vomiting may also occur – contributes to fluid loss and dehydration.
Severe poisoning leads to profound metabolic acidosis, seizures, coma, pulmonary oedema and cardiovascular collapse.
Treatment
Supportive care
No specific antidote
Enhanced elimination (activated charcoal, sodium bicarbonate to aid urinary excretion, and haemodialysis if salicylate levels >100)
 ", 
AZOLES,,,,,,,,,,"Inhibits fungal CYP 450, therefore reducing ergosterol synthesis.
Specificity comes from the fact that azoles have greater affinity for fungal CYP than human CYP.
Imidazoles are less selective and hence more toxic.
Spectrum of activity
Broad – candida, mycoses, aspergillus
Toxicity
Minor GI upset
Rarely, clinically significant hepatitis.","Fluconazole has interesting pharmacokinetics
Can be given PO/IV (good bioavailability)
It has high CSF penetration and can be used un fungal meningitis (other anti-fungals do not)
It is an inhibitor of CYP 450 enzyme, and has drug interactions as such.
Widest therapeutic index.",,,"Imidazoles – ketoconazole, miconazole, clotrimoxazole
Triazoles – fluconazole, voriconazole",,
BARBITURATES,IV,Extension of its pharmacologic properties – CNS depression and respiratory depression.,Absolute CI in porphyria (barbiturates may precipitate porphyria crisis),"It is very rapidly distributes into and then away from the CNS, which accounts for its quick onset and offset.",,"Excreted in the urine mainly as glucuronide derivative.
One exception is phenobarbital, which is excreted 20-30% unchanged in the urine. Phenobarbital is a weak acid with a pKa of 7.4. Therefore, alkalinizing the urine may increase its elimination significantly.","Used to terminate status epilepticus
Used as an induction agent (e.g. thiopental)","Additive effects if given with other CNS drugs (opioids/anti-psychotics/alcohol)
It is an enzyme inducer, so reduced effects of warfarin/digoxin/carbamazepine","Hepatic, by microsomal enzymes.
Note that overall, metabolism rate is slow and therefore, accumulation does occur if there is repeated dosing/infusion. It is not suitable for long term sedation, e.g. in ICU.
Remember that barbiturates are enzyme inducers.","Functions at the GABA-A receptor
In contrast to BZD, it increases the duration of GABA-A channel opening.
At higher concentrations, it may be GABA-mimetic (that is, they can open the channel themselves)
Also depress excitatory transmission of glutamate by binding to AMPA channels.
Also has some non-synaptic membrane effects
Overall, due to their effect on many channels, barbiturates producing more pronounced central depression and having a lower margin of safety than BZDs. They may also be used as induction agents.",,,"Elderly patient
Liver disease",,,
